task_id,department,maintenance_type,condition_score,asset_age_years,failure_count_12m,overdue_days,safety_criticality,operational_criticality
TASK_0031,Electrical,OHE Maintenance,82.8,32.3,1,2,Low,High
TASK_0032,Electrical,Electrical Inspection,53.9,18.7,5,0,High,High
TASK_0033,S&T,Signal Maintenance,24.8,29.1,6,3,Low,Low
TASK_0034,Engineering,Civil Maintenance,55.9,16.9,2,49,Low,Low
TASK_0035,Electrical,Traction Work,27.8,26.1,4,0,Low,Low
TASK_0036,Engineering,Track Inspection,58.9,8.5,3,0,Low,Medium
TASK_0037,Engineering,Track Inspection,41.2,31.4,3,26,Medium,High
TASK_0038,S&T,Telecom Maintenance,72.9,19.5,1,27,Low,Low
TASK_0039,S&T,Telecom Maintenance,63.4,29.9,0,0,High,Medium
TASK_0040,S&T,Telecom Maintenance,32.6,38.4,0,13,Low,High
TASK_0041,Engineering,Civil Maintenance,88.9,16.2,4,21,High,High
TASK_0042,Engineering,Civil Maintenance,26.6,26.3,4,56,Medium,Medium
TASK_0043,Engineering,Civil Maintenance,77.3,9.5,3,6,High,High
TASK_0044,Electrical,Electrical Inspection,45.3,30.1,0,0,Medium,High
TASK_0045,S&T,Signal Maintenance,25.9,8.5,2,6,Medium,Low
TASK_0046,Engineering,Track Inspection,42.8,17.5,4,80,Medium,High
TASK_0047,S&T,Telecom Maintenance,20.6,32.7,2,74,Low,Low
TASK_0048,Electrical,OHE Maintenance,91.2,29.7,1,24,Medium,High
TASK_0049,Engineering,Civil Maintenance,47.4,27.5,6,23,High,Medium
TASK_0050,Electrical,OHE Maintenance,27.4,16.9,2,0,Low,Medium
TASK_0051,Engineering,Civil Maintenance,98.4,6.5,3,60,High,Medium
TASK_0052,S&T,Signal Maintenance,28.9,37.8,5,9,High,Low
TASK_0053,Electrical,Traction Work,64.2,17.2,0,29,Medium,Low
TASK_0054,Electrical,OHE Maintenance,74.6,26.7,2,89,High,Medium
TASK_0055,S&T,Telecom Maintenance,32.4,37.2,6,10,Low,Medium
TASK_0056,Engineering,Track Maintenance,78.9,13.3,3,75,High,Low
TASK_0057,Electrical,OHE Maintenance,83.0,4.3,6,0,Medium,Low
TASK_0058,Engineering,Track Inspection,48.0,32.8,6,19,Low,Low
TASK_0059,S&T,Signal Maintenance,51.9,11.1,0,88,Medium,Medium
TASK_0060,S&T,Telecom Maintenance,52.0,39.2,4,32,Low,Low
TASK_0061,Electrical,OHE Maintenance,66.4,39.3,0,3,High,Medium
TASK_0062,Electrical,Traction Work,82.9,17.5,4,4,Medium,High
TASK_0063,Engineering,Track Inspection,23.6,17.4,4,58,High,High
TASK_0064,S&T,Telecom Maintenance,73.7,14.6,0,75,Medium,High
TASK_0065,Electrical,Traction Work,87.8,28.8,2,54,Medium,High
TASK_0066,Electrical,Electrical Inspection,52.2,11.8,1,14,Medium,High
TASK_0067,Electrical,Traction Work,79.9,7.0,4,28,Medium,High
TASK_0068,Engineering,Track Inspection,43.0,17.2,4,67,High,Medium
TASK_0069,Electrical,Electrical Inspection,55.4,8.5,3,84,Low,High
TASK_0070,Engineering,Track Inspection,61.2,25.3,2,1,Low,High
TASK_0071,Electrical,OHE Maintenance,84.5,5.9,0,21,Medium,High
TASK_0072,Engineering,Track Inspection,53.2,25.2,1,81,High,Medium
TASK_0073,Electrical,Electrical Inspection,39.5,26.2,0,86,Low,Medium
TASK_0074,Engineering,Track Maintenance,84.3,27.8,3,0,High,Low
TASK_0075,Engineering,Track Inspection,30.7,18.6,4,61,High,Medium
TASK_0076,Electrical,Traction Work,85.2,35.7,3,60,Medium,Low
TASK_0077,S&T,Interlocking Work,56.0,30.1,6,71,Medium,High
TASK_0078,Electrical,Traction Work,39.1,17.6,5,26,Low,Medium
TASK_0079,Electrical,Electrical Inspection,91.4,3.2,1,19,Medium,High
TASK_0080,Engineering,Civil Maintenance,37.1,16.6,2,59,Medium,Medium
TASK_0081,Engineering,Track Maintenance,86.6,15.6,6,64,High,Low
TASK_0082,S&T,Interlocking Work,58.2,37.7,2,86,Medium,Medium
TASK_0083,S&T,Telecom Maintenance,78.8,32.0,1,52,Low,Medium
TASK_0084,Electrical,Electrical Inspection,22.3,13.4,5,41,High,Low
TASK_0085,Electrical,OHE Maintenance,98.5,21.4,3,65,High,High
TASK_0086,Engineering,Track Maintenance,71.4,5.4,3,13,Low,Medium
TASK_0087,Electrical,Electrical Inspection,36.9,13.1,6,38,Medium,Medium
TASK_0088,Electrical,OHE Maintenance,57.6,30.0,0,34,Low,High
TASK_0089,Engineering,Civil Maintenance,23.2,1.2,1,15,Low,High
TASK_0090,Engineering,Track Maintenance,30.1,26.8,4,17,Medium,High
TASK_0091,Electrical,Electrical Inspection,33.4,24.3,5,81,Low,Low
TASK_0092,Electrical,OHE Maintenance,66.3,37.2,4,76,Medium,Medium
TASK_0093,S&T,Signal Maintenance,26.1,27.6,5,21,Low,High
TASK_0094,Electrical,Traction Work,68.0,4.8,4,90,Low,Medium
TASK_0095,S&T,Interlocking Work,72.9,2.8,5,33,Low,Medium
TASK_0096,Electrical,OHE Maintenance,54.7,14.5,6,48,High,Low
TASK_0097,Electrical,OHE Maintenance,78.7,38.6,2,68,High,Medium
TASK_0098,Electrical,Electrical Inspection,86.1,23.7,2,21,Low,Medium
TASK_0099,Electrical,OHE Maintenance,80.0,22.8,5,38,Medium,Low
TASK_0100,Electrical,Electrical Inspection,34.5,8.5,6,23,Medium,Medium
TASK_0101,S&T,Telecom Maintenance,90.4,22.2,4,14,Low,Low
TASK_0102,S&T,Interlocking Work,59.1,30.3,5,50,High,High
TASK_0103,Electrical,Electrical Inspection,83.4,3.7,1,41,High,Low
TASK_0104,Electrical,Traction Work,66.5,18.9,4,34,Medium,High
TASK_0105,S&T,Interlocking Work,48.1,18.1,2,22,Low,Low
TASK_0106,S&T,Signal Maintenance,45.2,29.7,6,78,Low,Low
TASK_0107,Engineering,Civil Maintenance,58.7,29.0,6,57,High,Medium
TASK_0108,Engineering,Track Maintenance,43.7,14.4,2,0,High,High
TASK_0109,Engineering,Track Inspection,23.6,2.2,2,79,Low,High
TASK_0110,Electrical,OHE Maintenance,89.8,23.0,3,51,Medium,Medium
TASK_0111,Engineering,Track Maintenance,40.2,34.5,0,0,Medium,Medium
TASK_0112,Engineering,Civil Maintenance,70.4,2.1,1,62,Medium,Low
TASK_0113,Engineering,Track Maintenance,64.6,16.6,4,69,Low,High
TASK_0114,Electrical,Electrical Inspection,92.7,11.9,4,44,Medium,High
TASK_0115,S&T,Signal Maintenance,68.8,29.6,6,16,High,Low
TASK_0116,Electrical,Traction Work,26.5,9.6,4,0,Low,Low
TASK_0117,Electrical,Electrical Inspection,75.1,18.8,0,19,Medium,High
TASK_0118,Electrical,Traction Work,88.8,2.8,1,23,High,High
TASK_0119,S&T,Signal Maintenance,54.0,21.8,5,9,Medium,Low
TASK_0120,Engineering,Track Maintenance,33.3,12.3,5,62,Medium,Medium
TASK_0121,Engineering,Track Inspection,75.1,28.0,2,54,High,Medium
TASK_0122,Electrical,OHE Maintenance,67.8,35.6,5,31,High,Medium
TASK_0123,Engineering,Track Maintenance,38.3,27.0,6,63,High,Low
TASK_0124,S&T,Interlocking Work,66.1,30.5,1,50,High,High
TASK_0125,Electrical,Electrical Inspection,34.5,23.4,5,52,Low,Medium
TASK_0126,Electrical,Electrical Inspection,46.7,26.8,6,10,Medium,Medium
TASK_0127,S&T,Interlocking Work,43.1,37.8,6,87,High,Low
TASK_0128,Electrical,OHE Maintenance,45.2,12.9,6,41,High,Low
TASK_0129,S&T,Telecom Maintenance,57.0,2.2,4,36,High,Medium
TASK_0130,S&T,Interlocking Work,80.8,8.1,4,6,Medium,Medium
TASK_0131,S&T,Interlocking Work,29.7,38.9,4,20,High,Low
TASK_0132,Electrical,Traction Work,21.1,16.3,1,4,Medium,Low
TASK_0133,S&T,Signal Maintenance,59.9,28.7,4,80,Medium,Medium
TASK_0134,Electrical,Electrical Inspection,39.5,22.1,3,14,High,High
TASK_0135,S&T,Signal Maintenance,89.1,11.0,6,43,Medium,High
TASK_0136,Electrical,OHE Maintenance,42.6,11.9,4,64,High,Medium
TASK_0137,Engineering,Track Inspection,63.1,13.8,4,87,High,Medium
TASK_0138,Electrical,Electrical Inspection,89.6,39.2,1,63,Medium,Low
TASK_0139,Electrical,OHE Maintenance,45.5,18.9,6,38,Medium,High
TASK_0140,S&T,Signal Maintenance,59.6,1.5,4,65,Medium,Low
TASK_0141,Electrical,OHE Maintenance,62.1,18.3,5,8,Medium,High
TASK_0142,Engineering,Track Maintenance,57.6,38.8,2,69,High,Medium
TASK_0143,S&T,Signal Maintenance,88.1,34.1,6,58,Medium,Medium
TASK_0144,S&T,Telecom Maintenance,91.0,19.5,4,0,High,Low
TASK_0145,Engineering,Civil Maintenance,74.8,11.5,1,85,Low,Medium
TASK_0146,Engineering,Civil Maintenance,76.3,4.0,1,78,Medium,Low
TASK_0147,Engineering,Track Inspection,83.7,11.7,2,45,Low,Low
TASK_0148,S&T,Interlocking Work,65.3,31.7,1,12,Low,High
TASK_0149,Electrical,Traction Work,74.7,19.9,4,8,Low,Medium
TASK_0150,S&T,Interlocking Work,56.8,26.7,6,49,Medium,High
TASK_0151,S&T,Signal Maintenance,25.9,37.8,4,28,High,Medium
TASK_0152,S&T,Interlocking Work,56.5,12.1,3,51,Low,Low
TASK_0153,Electrical,Traction Work,48.7,11.8,5,27,Low,High
TASK_0154,Electrical,Electrical Inspection,20.6,34.6,6,85,Low,High
TASK_0155,S&T,Interlocking Work,86.6,36.1,6,19,High,Medium
TASK_0156,Engineering,Civil Maintenance,35.2,10.0,6,82,High,High
TASK_0157,Engineering,Civil Maintenance,27.8,25.1,0,29,Medium,Low
TASK_0158,S&T,Interlocking Work,78.6,3.6,2,31,High,Medium
TASK_0159,Engineering,Track Maintenance,30.6,21.6,2,57,High,Medium
TASK_0160,Engineering,Track Inspection,93.1,37.8,6,27,High,Medium
TASK_0161,Engineering,Track Inspection,97.0,5.6,1,76,High,High
TASK_0162,Electrical,Traction Work,49.3,31.6,0,23,High,Low
TASK_0163,Electrical,Electrical Inspection,73.8,26.9,4,38,High,Medium
TASK_0164,Engineering,Civil Maintenance,38.7,1.0,4,31,High,Low
TASK_0165,S&T,Signal Maintenance,70.8,18.6,5,28,High,Medium
TASK_0166,Engineering,Track Maintenance,23.6,1.5,3,4,Low,Low
TASK_0167,S&T,Signal Maintenance,51.1,14.8,5,79,High,Medium
TASK_0168,S&T,Telecom Maintenance,78.1,35.4,5,2,Medium,High
TASK_0169,Electrical,Electrical Inspection,22.6,14.8,3,46,Low,Medium
TASK_0170,Engineering,Civil Maintenance,49.4,36.1,5,35,Low,Medium
TASK_0171,Electrical,OHE Maintenance,97.5,38.0,6,48,Low,High
TASK_0172,Engineering,Civil Maintenance,71.2,38.8,0,90,Medium,Low
TASK_0173,Engineering,Civil Maintenance,36.4,33.2,4,16,High,Low
TASK_0174,Engineering,Track Inspection,81.9,31.5,4,0,Medium,Low
TASK_0175,Engineering,Civil Maintenance,40.1,7.0,5,0,Low,Low
TASK_0176,Electrical,OHE Maintenance,67.1,0.6,2,0,Low,High
TASK_0177,Electrical,Traction Work,29.1,2.5,3,89,Medium,High
TASK_0178,S&T,Signal Maintenance,56.2,8.9,4,0,High,High
TASK_0179,S&T,Interlocking Work,56.6,38.6,0,51,Medium,Medium
TASK_0180,S&T,Signal Maintenance,59.2,36.4,0,0,Medium,High
TASK_0181,Engineering,Track Maintenance,30.1,25.0,4,60,High,Medium
TASK_0182,Electrical,Traction Work,62.4,18.1,4,45,Low,High
TASK_0183,Engineering,Civil Maintenance,72.1,30.8,5,17,Medium,Medium
TASK_0184,Engineering,Track Inspection,47.1,18.1,3,83,Low,Medium
TASK_0185,Electrical,Electrical Inspection,73.2,15.0,1,77,Medium,Low
TASK_0186,Engineering,Track Maintenance,27.5,3.9,5,37,Low,High
TASK_0187,Engineering,Civil Maintenance,96.5,22.5,5,5,Medium,Medium
TASK_0188,S&T,Interlocking Work,89.4,28.8,2,66,Medium,Medium
TASK_0189,Engineering,Civil Maintenance,60.6,6.2,3,18,Low,Medium
TASK_0190,S&T,Interlocking Work,29.2,11.1,1,44,High,High
TASK_0191,S&T,Telecom Maintenance,71.4,1.1,5,78,Medium,Low
TASK_0192,Engineering,Track Inspection,76.2,12.4,2,34,Low,Low
TASK_0193,Engineering,Civil Maintenance,72.6,2.8,5,71,Low,Low
TASK_0194,S&T,Telecom Maintenance,37.2,16.8,2,10,Medium,Medium
TASK_0195,S&T,Interlocking Work,82.1,22.7,0,0,Low,Low
TASK_0196,S&T,Signal Maintenance,73.9,10.9,5,44,Medium,High
TASK_0197,Electrical,Electrical Inspection,41.9,30.2,0,34,Medium,Low
TASK_0198,Electrical,Traction Work,74.3,19.5,5,29,Low,Low
TASK_0199,Electrical,Traction Work,24.4,8.2,1,88,Low,Medium
TASK_0200,Electrical,Electrical Inspection,29.6,19.9,3,12,Low,Medium
TASK_0201,S&T,Telecom Maintenance,38.4,22.3,5,35,Low,Medium
TASK_0202,S&T,Signal Maintenance,54.9,18.4,0,30,High,Medium
TASK_0203,S&T,Interlocking Work,76.8,16.7,0,41,Low,Medium
TASK_0204,Engineering,Civil Maintenance,56.8,27.6,2,1,Medium,Low
TASK_0205,Engineering,Track Inspection,67.1,21.0,3,29,High,Medium
TASK_0206,Engineering,Track Inspection,82.3,3.1,5,4,High,High
TASK_0207,Engineering,Track Inspection,48.1,38.3,5,8,Low,Low
TASK_0208,Engineering,Track Inspection,35.8,24.1,6,87,High,Low
TASK_0209,Engineering,Civil Maintenance,59.5,30.2,6,64,Medium,High
TASK_0210,S&T,Telecom Maintenance,70.8,25.0,6,70,Medium,Low
TASK_0211,Electrical,OHE Maintenance,57.5,25.3,6,25,High,Low
TASK_0212,Electrical,Traction Work,25.9,18.5,0,0,Medium,Medium
TASK_0213,Engineering,Civil Maintenance,89.1,34.2,4,66,High,Medium
TASK_0214,Electrical,Traction Work,64.3,31.7,0,47,High,High
TASK_0215,Engineering,Track Inspection,68.4,20.1,0,47,Low,Medium
TASK_0216,S&T,Signal Maintenance,60.4,6.9,1,80,Medium,Medium
TASK_0217,S&T,Telecom Maintenance,68.8,14.6,2,39,Medium,Medium
TASK_0218,S&T,Telecom Maintenance,24.2,25.2,2,0,Medium,Low
TASK_0219,S&T,Telecom Maintenance,50.9,10.1,6,74,High,Low
TASK_0220,Electrical,OHE Maintenance,66.6,5.7,2,29,High,High
TASK_0221,S&T,Interlocking Work,30.3,28.4,0,29,High,Medium
TASK_0222,S&T,Interlocking Work,85.1,26.8,6,84,High,High
TASK_0223,Engineering,Civil Maintenance,73.6,20.3,0,36,Medium,Low
TASK_0224,Engineering,Track Inspection,95.8,19.5,1,7,Low,Low
TASK_0225,Electrical,OHE Maintenance,60.6,21.6,5,57,Low,High
TASK_0226,Electrical,Traction Work,30.5,15.1,1,13,High,High
TASK_0227,Engineering,Civil Maintenance,55.0,16.4,5,82,Low,Medium
TASK_0228,S&T,Interlocking Work,80.2,31.4,1,58,Low,Medium
TASK_0229,Electrical,OHE Maintenance,49.4,37.9,3,49,Medium,Medium
TASK_0230,S&T,Telecom Maintenance,53.5,6.5,1,67,Low,Medium
TASK_0231,Engineering,Civil Maintenance,58.4,14.8,0,81,High,Low
TASK_0232,Electrical,OHE Maintenance,81.0,10.9,4,8,Medium,Low
TASK_0233,Engineering,Track Inspection,90.8,37.2,3,0,Medium,High
TASK_0234,Electrical,OHE Maintenance,50.9,3.3,1,0,Medium,Low
TASK_0235,S&T,Telecom Maintenance,46.8,5.8,0,26,Medium,High
TASK_0236,Engineering,Civil Maintenance,57.5,24.6,0,0,Medium,Low
TASK_0237,Engineering,Civil Maintenance,95.2,24.4,3,4,Medium,Low
TASK_0238,Electrical,OHE Maintenance,23.8,16.8,6,69,Medium,Low
TASK_0239,Engineering,Track Inspection,67.7,0.7,4,63,Low,High
TASK_0240,Engineering,Track Inspection,54.3,24.6,1,63,Medium,Low
TASK_0241,S&T,Telecom Maintenance,26.8,39.0,0,57,High,High
TASK_0242,S&T,Telecom Maintenance,21.6,34.9,0,71,Medium,Medium
TASK_0243,Electrical,Traction Work,21.3,31.5,2,20,High,High
TASK_0244,S&T,Signal Maintenance,81.7,29.4,2,7,Low,Medium
TASK_0245,S&T,Interlocking Work,85.1,7.0,6,77,Medium,High
TASK_0246,Electrical,Traction Work,34.6,5.4,5,89,Medium,Low
TASK_0247,Electrical,OHE Maintenance,23.5,8.0,0,30,Medium,High
TASK_0248,Electrical,Traction Work,57.9,1.5,5,14,Medium,Medium
TASK_0249,Engineering,Civil Maintenance,46.6,5.0,2,45,Medium,High
TASK_0250,Electrical,Electrical Inspection,47.1,7.5,5,53,Medium,High
TASK_0251,Electrical,OHE Maintenance,78.2,3.2,4,13,High,Medium
TASK_0252,Electrical,OHE Maintenance,26.4,26.4,2,47,High,High
TASK_0253,Electrical,OHE Maintenance,75.2,14.1,0,83,Medium,High
TASK_0254,Electrical,Electrical Inspection,71.2,31.7,0,0,High,High
TASK_0255,Electrical,Electrical Inspection,61.0,30.0,1,0,Low,High
TASK_0256,S&T,Interlocking Work,22.8,2.7,6,72,Medium,Medium
TASK_0257,Electrical,Traction Work,22.6,6.1,3,37,Medium,Medium
TASK_0258,Engineering,Civil Maintenance,31.0,14.7,2,73,Medium,Low
TASK_0259,Engineering,Track Maintenance,78.9,20.0,3,61,Low,Medium
TASK_0260,Electrical,Traction Work,55.7,39.9,2,78,Medium,Low
TASK_0261,Engineering,Track Maintenance,88.2,18.1,5,46,Low,High
TASK_0262,Electrical,Traction Work,47.8,2.6,4,27,Medium,Low
TASK_0263,S&T,Telecom Maintenance,94.2,25.5,6,36,High,Low
TASK_0264,Engineering,Track Maintenance,83.4,9.5,3,0,Medium,High
TASK_0265,S&T,Interlocking Work,57.4,39.3,1,68,Low,Low
TASK_0266,Electrical,Electrical Inspection,100.0,28.8,4,42,Medium,High
TASK_0267,Engineering,Track Maintenance,97.8,25.7,3,49,High,High
TASK_0268,Electrical,OHE Maintenance,90.2,31.2,5,65,Low,Low
TASK_0269,Electrical,Traction Work,92.9,2.2,0,56,Low,Medium
TASK_0270,Engineering,Track Maintenance,45.8,28.4,2,56,Medium,Low
TASK_0271,Electrical,OHE Maintenance,70.8,22.0,1,70,Medium,High
TASK_0272,S&T,Signal Maintenance,60.2,6.7,4,9,Low,High
TASK_0273,S&T,Telecom Maintenance,92.2,13.5,4,0,Low,Low
TASK_0274,Engineering,Civil Maintenance,81.7,10.6,1,88,High,Medium
TASK_0275,S&T,Telecom Maintenance,22.4,35.6,4,27,High,Medium
TASK_0276,Electrical,OHE Maintenance,84.4,27.4,2,48,Low,High
TASK_0277,Engineering,Track Maintenance,55.2,19.4,1,33,High,Low
TASK_0278,Electrical,Traction Work,45.5,39.5,2,41,Low,Medium
TASK_0279,S&T,Telecom Maintenance,28.5,9.7,0,24,Medium,Low
TASK_0280,Engineering,Track Maintenance,24.0,37.8,6,68,Medium,Low
TASK_0281,Engineering,Track Inspection,94.7,28.8,1,87,Low,Medium
TASK_0282,S&T,Interlocking Work,59.9,12.3,0,1,Medium,High
TASK_0283,Electrical,OHE Maintenance,37.2,14.1,0,26,Medium,High
TASK_0284,S&T,Telecom Maintenance,57.6,21.5,6,3,Medium,Low
TASK_0285,Electrical,Traction Work,49.3,16.1,0,41,Low,High
TASK_0286,S&T,Signal Maintenance,49.0,11.5,3,54,Medium,High
TASK_0287,Electrical,Traction Work,74.4,4.8,0,40,Medium,Medium
TASK_0288,S&T,Interlocking Work,80.4,8.0,4,41,High,Low
TASK_0289,Engineering,Track Maintenance,31.0,13.3,3,56,Medium,Low
TASK_0290,S&T,Telecom Maintenance,31.2,37.3,2,10,Medium,High
TASK_0291,S&T,Interlocking Work,67.5,20.3,4,58,Medium,High
TASK_0292,S&T,Interlocking Work,58.0,0.7,2,76,Low,Medium
TASK_0293,S&T,Interlocking Work,83.7,29.0,5,70,Low,High
TASK_0294,Electrical,Electrical Inspection,97.4,31.3,6,64,High,Low
TASK_0295,S&T,Signal Maintenance,66.7,6.8,5,82,High,Medium
TASK_0296,Engineering,Civil Maintenance,39.4,22.9,5,4,Low,Low
TASK_0297,Electrical,Electrical Inspection,53.5,16.5,1,42,High,High
TASK_0298,Electrical,Traction Work,78.2,28.2,4,16,High,Medium
TASK_0299,S&T,Interlocking Work,62.0,12.6,1,48,High,Medium
TASK_0300,S&T,Interlocking Work,74.1,34.7,5,72,High,Medium
