forecast_id,forecast_date,corridor_id,expected_goods_trains,expected_tonnage,peak_goods_window,demand_level
FC00038,2026-09-21,C3,28,42112,18:00-21:00,High
FC00039,2026-09-21,C4,15,22515,12:00-15:00,Medium
FC00040,2026-09-21,C5,34,53924,06:00-09:00,High
FC00041,2026-09-22,C1,15,24615,06:00-09:00,Medium
FC00042,2026-09-22,C2,33,37059,15:00-18:00,High
FC00043,2026-09-22,C3,16,13872,09:00-12:00,Medium
FC00044,2026-09-22,C4,26,44122,21:00-00:00,High
FC00045,2026-09-22,C5,18,18306,21:00-00:00,Medium
FC00046,2026-09-23,C1,23,27715,21:00-00:00,Medium
FC00047,2026-09-23,C2,22,20812,12:00-15:00,Medium
FC00048,2026-09-23,C3,12,12624,21:00-00:00,Low
FC00049,2026-09-23,C4,25,33775,12:00-15:00,High
FC00050,2026-09-23,C5,31,43338,15:00-18:00,High
FC00051,2026-09-24,C1,26,31408,12:00-15:00,High
FC00052,2026-09-24,C2,15,14115,18:00-21:00,Medium
FC00053,2026-09-24,C3,23,20539,06:00-09:00,Medium
FC00054,2026-09-24,C4,35,31920,09:00-12:00,High
FC00055,2026-09-24,C5,28,26964,21:00-00:00,High
FC00056,2026-09-25,C1,21,29610,06:00-09:00,Medium
FC00057,2026-09-25,C2,20,23800,18:00-21:00,Medium
FC00058,2026-09-25,C3,22,29502,12:00-15:00,Medium
FC00059,2026-09-25,C4,25,42025,06:00-09:00,High
FC00060,2026-09-25,C5,29,44602,06:00-09:00,High
FC00061,2026-09-26,C1,29,49474,18:00-21:00,High
FC00062,2026-09-26,C2,32,34336,21:00-00:00,High
FC00063,2026-09-26,C3,18,16452,12:00-15:00,Medium
FC00064,2026-09-26,C4,21,20181,15:00-18:00,Medium
FC00065,2026-09-26,C5,8,14208,21:00-00:00,Low
FC00066,2026-09-27,C1,31,33139,18:00-21:00,High
FC00067,2026-09-27,C2,32,31424,18:00-21:00,High
FC00068,2026-09-27,C3,11,18601,21:00-00:00,Low
FC00069,2026-09-27,C4,17,28237,21:00-00:00,Medium
FC00070,2026-09-27,C5,24,34152,09:00-12:00,Medium
FC00071,2026-09-28,C1,12,14184,09:00-12:00,Low
FC00072,2026-09-28,C2,25,44400,18:00-21:00,High
FC00073,2026-09-28,C3,8,11304,12:00-15:00,Low
FC00074,2026-09-28,C4,23,18837,06:00-09:00,Medium
FC00075,2026-09-28,C5,19,32281,12:00-15:00,Medium
FC00076,2026-09-29,C1,15,12885,09:00-12:00,Medium
FC00077,2026-09-29,C2,26,45994,06:00-09:00,High
FC00078,2026-09-29,C3,10,15490,15:00-18:00,Low
FC00079,2026-09-29,C4,34,29580,18:00-21:00,High
FC00080,2026-09-29,C5,32,29696,09:00-12:00,High
FC00081,2026-09-30,C1,29,37294,18:00-21:00,High
FC00082,2026-09-30,C2,13,13923,18:00-21:00,Low
FC00083,2026-09-30,C3,35,49735,15:00-18:00,High
FC00084,2026-09-30,C4,14,24514,18:00-21:00,Low
FC00085,2026-09-30,C5,32,49504,21:00-00:00,High
FC00086,2026-10-01,C1,14,21420,12:00-15:00,Low
FC00087,2026-10-01,C2,20,29740,21:00-00:00,Medium
FC00088,2026-10-01,C3,19,23712,18:00-21:00,Medium
FC00089,2026-10-01,C4,22,20306,09:00-12:00,Medium
FC00090,2026-10-01,C5,15,12975,12:00-15:00,Medium
FC00091,2026-10-02,C1,8,11216,18:00-21:00,Low
FC00092,2026-10-02,C2,15,21030,09:00-12:00,Medium
FC00093,2026-10-02,C3,8,6976,21:00-00:00,Low
FC00094,2026-10-02,C4,28,24080,09:00-12:00,High
FC00095,2026-10-02,C5,10,17270,06:00-09:00,Low
FC00096,2026-10-03,C1,35,39830,06:00-09:00,High
FC00097,2026-10-03,C2,24,25032,12:00-15:00,Medium
FC00098,2026-10-03,C3,29,37613,09:00-12:00,High
FC00099,2026-10-03,C4,25,23375,21:00-00:00,High
FC00100,2026-10-03,C5,26,36140,15:00-18:00,High
FC00101,2026-10-04,C1,15,24045,15:00-18:00,Medium
FC00102,2026-10-04,C2,33,40128,09:00-12:00,High
FC00103,2026-10-04,C3,11,9889,21:00-00:00,Low
FC00104,2026-10-04,C4,21,24402,15:00-18:00,Medium
FC00105,2026-10-04,C5,21,26838,21:00-00:00,Medium
FC00106,2026-10-05,C1,9,13401,21:00-00:00,Low
FC00107,2026-10-05,C2,28,25200,06:00-09:00,High
FC00108,2026-10-05,C3,20,30900,12:00-15:00,Medium
FC00109,2026-10-05,C4,33,55506,06:00-09:00,High
FC00110,2026-10-05,C5,15,14940,09:00-12:00,Medium
FC00111,2026-10-06,C1,25,31475,09:00-12:00,High
FC00112,2026-10-06,C2,21,20727,12:00-15:00,Medium
FC00113,2026-10-06,C3,22,23210,06:00-09:00,Medium
FC00114,2026-10-06,C4,22,35794,18:00-21:00,Medium
FC00115,2026-10-06,C5,11,9361,21:00-00:00,Low
FC00116,2026-10-07,C1,25,41400,06:00-09:00,High
FC00117,2026-10-07,C2,10,17480,09:00-12:00,Low
FC00118,2026-10-07,C3,13,15808,15:00-18:00,Low
FC00119,2026-10-07,C4,23,23414,15:00-18:00,Medium
FC00120,2026-10-07,C5,9,8712,15:00-18:00,Low
FC00121,2026-10-08,C1,8,9592,12:00-15:00,Low
FC00122,2026-10-08,C2,33,52899,15:00-18:00,High
FC00123,2026-10-08,C3,17,20961,21:00-00:00,Medium
FC00124,2026-10-08,C4,31,49662,18:00-21:00,High
FC00125,2026-10-08,C5,29,44515,15:00-18:00,High
FC00126,2026-10-09,C1,12,11928,12:00-15:00,Low
FC00127,2026-10-09,C2,14,25074,06:00-09:00,Low
FC00128,2026-10-09,C3,26,40378,18:00-21:00,High
FC00129,2026-10-09,C4,9,14085,12:00-15:00,Low
FC00130,2026-10-09,C5,9,7659,18:00-21:00,Low
FC00131,2026-10-10,C1,23,30222,18:00-21:00,Medium
FC00132,2026-10-10,C2,13,11154,18:00-21:00,Low
FC00133,2026-10-10,C3,10,16710,09:00-12:00,Low
FC00134,2026-10-10,C4,10,14090,06:00-09:00,Low
FC00135,2026-10-10,C5,29,48778,09:00-12:00,High
FC00136,2026-10-11,C1,20,18440,18:00-21:00,Medium
FC00137,2026-10-11,C2,15,20880,18:00-21:00,Medium
FC00138,2026-10-11,C3,9,12906,06:00-09:00,Low
FC00139,2026-10-11,C4,21,30933,18:00-21:00,Medium
FC00140,2026-10-11,C5,26,34710,12:00-15:00,High
FC00141,2026-10-12,C1,16,16144,21:00-00:00,Medium
FC00142,2026-10-12,C2,30,33630,09:00-12:00,High
FC00143,2026-10-12,C3,16,19280,09:00-12:00,Medium
FC00144,2026-10-12,C4,29,42340,12:00-15:00,High
FC00145,2026-10-12,C5,22,24706,06:00-09:00,Medium
FC00146,2026-10-13,C1,8,10152,18:00-21:00,Low
FC00147,2026-10-13,C2,26,23452,06:00-09:00,High
FC00148,2026-10-13,C3,25,25450,18:00-21:00,High
FC00149,2026-10-13,C4,16,14960,12:00-15:00,Medium
FC00150,2026-10-13,C5,10,17000,09:00-12:00,Low
