block_id,block_date,corridor_id,section_id,start_time,end_time,duration_minutes,block_type,approval_status,capacity_level
BLK00021,2026-09-14,C5,S06,2026-09-14 00:00:00,2026-09-14 03:00:00,180,Power Block,Approved,Partial
BLK00022,2026-09-14,C5,S18,2026-09-14 03:00:00,2026-09-14 06:00:00,180,Traffic Block,Pending,Partial
BLK00023,2026-09-14,C5,S02,2026-09-14 10:00:00,2026-09-14 13:00:00,180,Traffic Block,Approved,Partial
BLK00024,2026-09-14,C5,S13,2026-09-14 13:00:00,2026-09-14 16:00:00,180,Power Block,Approved,Full
BLK00025,2026-09-14,C5,S19,2026-09-14 22:00:00,2026-09-15 00:00:00,120,Engineering Block,Approved,Full
BLK00026,2026-09-15,C1,S16,2026-09-15 00:00:00,2026-09-15 03:00:00,180,Power Block,Pending,Partial
BLK00027,2026-09-15,C1,S05,2026-09-15 03:00:00,2026-09-15 06:00:00,180,Power Block,Approved,Full
BLK00028,2026-09-15,C1,S18,2026-09-15 10:00:00,2026-09-15 13:00:00,180,Engineering Block,Approved,Partial
BLK00029,2026-09-15,C1,S19,2026-09-15 13:00:00,2026-09-15 16:00:00,180,Power Block,Approved,Full
BLK00030,2026-09-15,C1,S05,2026-09-15 22:00:00,2026-09-16 00:00:00,120,Engineering Block,Approved,Full
BLK00031,2026-09-15,C2,S02,2026-09-15 00:00:00,2026-09-15 03:00:00,180,Traffic Block,Approved,Full
BLK00032,2026-09-15,C2,S14,2026-09-15 03:00:00,2026-09-15 06:00:00,180,Engineering Block,Approved,Partial
BLK00033,2026-09-15,C2,S13,2026-09-15 10:00:00,2026-09-15 13:00:00,180,Engineering Block,Approved,Partial
BLK00034,2026-09-15,C2,S18,2026-09-15 13:00:00,2026-09-15 16:00:00,180,Traffic Block,Pending,Full
BLK00035,2026-09-15,C2,S18,2026-09-15 22:00:00,2026-09-16 00:00:00,120,Power Block,Pending,Partial
BLK00036,2026-09-15,C3,S04,2026-09-15 00:00:00,2026-09-15 03:00:00,180,Power Block,Approved,Full
BLK00037,2026-09-15,C3,S15,2026-09-15 03:00:00,2026-09-15 06:00:00,180,Traffic Block,Pending,Partial
BLK00038,2026-09-15,C3,S17,2026-09-15 10:00:00,2026-09-15 13:00:00,180,Traffic Block,Pending,Full
BLK00039,2026-09-15,C3,S10,2026-09-15 13:00:00,2026-09-15 16:00:00,180,Engineering Block,Pending,Full
BLK00040,2026-09-15,C3,S05,2026-09-15 22:00:00,2026-09-16 00:00:00,120,Power Block,Approved,Full
BLK00041,2026-09-15,C4,S20,2026-09-15 00:00:00,2026-09-15 03:00:00,180,Power Block,Approved,Full
BLK00042,2026-09-15,C4,S04,2026-09-15 03:00:00,2026-09-15 06:00:00,180,Power Block,Approved,Full
BLK00043,2026-09-15,C4,S02,2026-09-15 10:00:00,2026-09-15 13:00:00,180,Traffic Block,Pending,Full
BLK00044,2026-09-15,C4,S03,2026-09-15 13:00:00,2026-09-15 16:00:00,180,Engineering Block,Approved,Full
BLK00045,2026-09-15,C4,S18,2026-09-15 22:00:00,2026-09-16 00:00:00,120,Traffic Block,Approved,Partial
BLK00046,2026-09-15,C5,S18,2026-09-15 00:00:00,2026-09-15 03:00:00,180,Traffic Block,Approved,Partial
BLK00047,2026-09-15,C5,S07,2026-09-15 03:00:00,2026-09-15 06:00:00,180,Engineering Block,Pending,Full
BLK00048,2026-09-15,C5,S10,2026-09-15 10:00:00,2026-09-15 13:00:00,180,Power Block,Pending,Partial
BLK00049,2026-09-15,C5,S15,2026-09-15 13:00:00,2026-09-15 16:00:00,180,Engineering Block,Approved,Full
BLK00050,2026-09-15,C5,S08,2026-09-15 22:00:00,2026-09-16 00:00:00,120,Traffic Block,Approved,Partial
BLK00051,2026-09-16,C1,S01,2026-09-16 00:00:00,2026-09-16 03:00:00,180,Engineering Block,Pending,Full
BLK00052,2026-09-16,C1,S19,2026-09-16 03:00:00,2026-09-16 06:00:00,180,Traffic Block,Approved,Full
BLK00053,2026-09-16,C1,S02,2026-09-16 10:00:00,2026-09-16 13:00:00,180,Traffic Block,Approved,Full
BLK00054,2026-09-16,C1,S11,2026-09-16 13:00:00,2026-09-16 16:00:00,180,Traffic Block,Pending,Full
BLK00055,2026-09-16,C1,S09,2026-09-16 22:00:00,2026-09-17 00:00:00,120,Engineering Block,Approved,Full
BLK00056,2026-09-16,C2,S18,2026-09-16 00:00:00,2026-09-16 03:00:00,180,Traffic Block,Pending,Partial
BLK00057,2026-09-16,C2,S08,2026-09-16 03:00:00,2026-09-16 06:00:00,180,Power Block,Approved,Full
BLK00058,2026-09-16,C2,S04,2026-09-16 10:00:00,2026-09-16 13:00:00,180,Traffic Block,Pending,Partial
BLK00059,2026-09-16,C2,S12,2026-09-16 13:00:00,2026-09-16 16:00:00,180,Power Block,Approved,Partial
BLK00060,2026-09-16,C2,S02,2026-09-16 22:00:00,2026-09-17 00:00:00,120,Engineering Block,Pending,Full
BLK00061,2026-09-16,C3,S02,2026-09-16 00:00:00,2026-09-16 03:00:00,180,Power Block,Pending,Partial
BLK00062,2026-09-16,C3,S04,2026-09-16 03:00:00,2026-09-16 06:00:00,180,Traffic Block,Approved,Full
BLK00063,2026-09-16,C3,S18,2026-09-16 10:00:00,2026-09-16 13:00:00,180,Power Block,Approved,Partial
BLK00064,2026-09-16,C3,S06,2026-09-16 13:00:00,2026-09-16 16:00:00,180,Power Block,Approved,Full
BLK00065,2026-09-16,C3,S03,2026-09-16 22:00:00,2026-09-17 00:00:00,120,Power Block,Pending,Full
BLK00066,2026-09-16,C4,S02,2026-09-16 00:00:00,2026-09-16 03:00:00,180,Engineering Block,Pending,Full
BLK00067,2026-09-16,C4,S03,2026-09-16 03:00:00,2026-09-16 06:00:00,180,Traffic Block,Approved,Partial
BLK00068,2026-09-16,C4,S16,2026-09-16 10:00:00,2026-09-16 13:00:00,180,Power Block,Approved,Partial
BLK00069,2026-09-16,C4,S02,2026-09-16 13:00:00,2026-09-16 16:00:00,180,Traffic Block,Approved,Full
BLK00070,2026-09-16,C4,S13,2026-09-16 22:00:00,2026-09-17 00:00:00,120,Power Block,Approved,Partial
BLK00071,2026-09-16,C5,S14,2026-09-16 00:00:00,2026-09-16 03:00:00,180,Engineering Block,Pending,Partial
BLK00072,2026-09-16,C5,S05,2026-09-16 03:00:00,2026-09-16 06:00:00,180,Traffic Block,Approved,Full
BLK00073,2026-09-16,C5,S02,2026-09-16 10:00:00,2026-09-16 13:00:00,180,Engineering Block,Pending,Full
BLK00074,2026-09-16,C5,S11,2026-09-16 13:00:00,2026-09-16 16:00:00,180,Traffic Block,Approved,Partial
BLK00075,2026-09-16,C5,S17,2026-09-16 22:00:00,2026-09-17 00:00:00,120,Engineering Block,Approved,Full
BLK00076,2026-09-17,C1,S17,2026-09-17 00:00:00,2026-09-17 03:00:00,180,Traffic Block,Approved,Full
BLK00077,2026-09-17,C1,S20,2026-09-17 03:00:00,2026-09-17 06:00:00,180,Traffic Block,Pending,Full
BLK00078,2026-09-17,C1,S13,2026-09-17 10:00:00,2026-09-17 13:00:00,180,Traffic Block,Pending,Full
BLK00079,2026-09-17,C1,S19,2026-09-17 13:00:00,2026-09-17 16:00:00,180,Engineering Block,Approved,Full
BLK00080,2026-09-17,C1,S14,2026-09-17 22:00:00,2026-09-18 00:00:00,120,Engineering Block,Pending,Partial
BLK00081,2026-09-17,C2,S09,2026-09-17 00:00:00,2026-09-17 03:00:00,180,Traffic Block,Pending,Partial
BLK00082,2026-09-17,C2,S08,2026-09-17 03:00:00,2026-09-17 06:00:00,180,Power Block,Approved,Full
BLK00083,2026-09-17,C2,S10,2026-09-17 10:00:00,2026-09-17 13:00:00,180,Power Block,Approved,Full
BLK00084,2026-09-17,C2,S01,2026-09-17 13:00:00,2026-09-17 16:00:00,180,Power Block,Pending,Full
BLK00085,2026-09-17,C2,S03,2026-09-17 22:00:00,2026-09-18 00:00:00,120,Engineering Block,Approved,Partial
BLK00086,2026-09-17,C3,S05,2026-09-17 00:00:00,2026-09-17 03:00:00,180,Power Block,Approved,Full
BLK00087,2026-09-17,C3,S12,2026-09-17 03:00:00,2026-09-17 06:00:00,180,Power Block,Approved,Partial
BLK00088,2026-09-17,C3,S18,2026-09-17 10:00:00,2026-09-17 13:00:00,180,Engineering Block,Approved,Full
BLK00089,2026-09-17,C3,S18,2026-09-17 13:00:00,2026-09-17 16:00:00,180,Power Block,Pending,Full
BLK00090,2026-09-17,C3,S05,2026-09-17 22:00:00,2026-09-18 00:00:00,120,Power Block,Approved,Full
BLK00091,2026-09-17,C4,S18,2026-09-17 00:00:00,2026-09-17 03:00:00,180,Traffic Block,Approved,Partial
BLK00092,2026-09-17,C4,S20,2026-09-17 03:00:00,2026-09-17 06:00:00,180,Traffic Block,Pending,Partial
BLK00093,2026-09-17,C4,S07,2026-09-17 10:00:00,2026-09-17 13:00:00,180,Engineering Block,Pending,Partial
BLK00094,2026-09-17,C4,S17,2026-09-17 13:00:00,2026-09-17 16:00:00,180,Power Block,Approved,Full
BLK00095,2026-09-17,C4,S03,2026-09-17 22:00:00,2026-09-18 00:00:00,120,Engineering Block,Approved,Partial
BLK00096,2026-09-17,C5,S02,2026-09-17 00:00:00,2026-09-17 03:00:00,180,Traffic Block,Approved,Full
BLK00097,2026-09-17,C5,S09,2026-09-17 03:00:00,2026-09-17 06:00:00,180,Traffic Block,Pending,Partial
BLK00098,2026-09-17,C5,S18,2026-09-17 10:00:00,2026-09-17 13:00:00,180,Engineering Block,Approved,Full
BLK00099,2026-09-17,C5,S04,2026-09-17 13:00:00,2026-09-17 16:00:00,180,Traffic Block,Pending,Full
BLK00100,2026-09-17,C5,S18,2026-09-17 22:00:00,2026-09-18 00:00:00,120,Traffic Block,Approved,Full
BLK00101,2026-09-18,C1,S14,2026-09-18 00:00:00,2026-09-18 03:00:00,180,Traffic Block,Approved,Partial
BLK00102,2026-09-18,C1,S12,2026-09-18 03:00:00,2026-09-18 06:00:00,180,Traffic Block,Approved,Full
BLK00103,2026-09-18,C1,S08,2026-09-18 10:00:00,2026-09-18 13:00:00,180,Engineering Block,Approved,Partial
BLK00104,2026-09-18,C1,S18,2026-09-18 13:00:00,2026-09-18 16:00:00,180,Power Block,Pending,Full
BLK00105,2026-09-18,C1,S08,2026-09-18 22:00:00,2026-09-19 00:00:00,120,Traffic Block,Approved,Partial
BLK00106,2026-09-18,C2,S01,2026-09-18 00:00:00,2026-09-18 03:00:00,180,Traffic Block,Pending,Partial
BLK00107,2026-09-18,C2,S14,2026-09-18 03:00:00,2026-09-18 06:00:00,180,Engineering Block,Pending,Full
BLK00108,2026-09-18,C2,S09,2026-09-18 10:00:00,2026-09-18 13:00:00,180,Traffic Block,Pending,Full
BLK00109,2026-09-18,C2,S13,2026-09-18 13:00:00,2026-09-18 16:00:00,180,Traffic Block,Approved,Full
BLK00110,2026-09-18,C2,S07,2026-09-18 22:00:00,2026-09-19 00:00:00,120,Power Block,Approved,Partial
BLK00111,2026-09-18,C3,S08,2026-09-18 00:00:00,2026-09-18 03:00:00,180,Traffic Block,Approved,Full
BLK00112,2026-09-18,C3,S13,2026-09-18 03:00:00,2026-09-18 06:00:00,180,Power Block,Approved,Full
BLK00113,2026-09-18,C3,S09,2026-09-18 10:00:00,2026-09-18 13:00:00,180,Power Block,Pending,Partial
BLK00114,2026-09-18,C3,S18,2026-09-18 13:00:00,2026-09-18 16:00:00,180,Power Block,Approved,Full
BLK00115,2026-09-18,C3,S09,2026-09-18 22:00:00,2026-09-19 00:00:00,120,Traffic Block,Pending,Partial
BLK00116,2026-09-18,C4,S02,2026-09-18 00:00:00,2026-09-18 03:00:00,180,Traffic Block,Pending,Partial
BLK00117,2026-09-18,C4,S12,2026-09-18 03:00:00,2026-09-18 06:00:00,180,Engineering Block,Approved,Partial
BLK00118,2026-09-18,C4,S20,2026-09-18 10:00:00,2026-09-18 13:00:00,180,Engineering Block,Approved,Partial
BLK00119,2026-09-18,C4,S19,2026-09-18 13:00:00,2026-09-18 16:00:00,180,Traffic Block,Approved,Full
BLK00120,2026-09-18,C4,S14,2026-09-18 22:00:00,2026-09-19 00:00:00,120,Traffic Block,Pending,Full
BLK00121,2026-09-18,C5,S12,2026-09-18 00:00:00,2026-09-18 03:00:00,180,Power Block,Approved,Partial
BLK00122,2026-09-18,C5,S20,2026-09-18 03:00:00,2026-09-18 06:00:00,180,Power Block,Pending,Full
BLK00123,2026-09-18,C5,S10,2026-09-18 10:00:00,2026-09-18 13:00:00,180,Engineering Block,Approved,Partial
BLK00124,2026-09-18,C5,S11,2026-09-18 13:00:00,2026-09-18 16:00:00,180,Power Block,Pending,Partial
BLK00125,2026-09-18,C5,S18,2026-09-18 22:00:00,2026-09-19 00:00:00,120,Traffic Block,Approved,Partial
BLK00126,2026-09-19,C1,S13,2026-09-19 00:00:00,2026-09-19 03:00:00,180,Engineering Block,Pending,Full
BLK00127,2026-09-19,C1,S20,2026-09-19 03:00:00,2026-09-19 06:00:00,180,Engineering Block,Approved,Partial
BLK00128,2026-09-19,C1,S18,2026-09-19 10:00:00,2026-09-19 13:00:00,180,Traffic Block,Approved,Partial
BLK00129,2026-09-19,C1,S07,2026-09-19 13:00:00,2026-09-19 16:00:00,180,Power Block,Pending,Partial
BLK00130,2026-09-19,C1,S15,2026-09-19 22:00:00,2026-09-20 00:00:00,120,Power Block,Approved,Full
BLK00131,2026-09-19,C2,S17,2026-09-19 00:00:00,2026-09-19 03:00:00,180,Power Block,Pending,Full
BLK00132,2026-09-19,C2,S03,2026-09-19 03:00:00,2026-09-19 06:00:00,180,Power Block,Pending,Partial
BLK00133,2026-09-19,C2,S03,2026-09-19 10:00:00,2026-09-19 13:00:00,180,Traffic Block,Pending,Partial
BLK00134,2026-09-19,C2,S08,2026-09-19 13:00:00,2026-09-19 16:00:00,180,Traffic Block,Approved,Full
BLK00135,2026-09-19,C2,S02,2026-09-19 22:00:00,2026-09-20 00:00:00,120,Traffic Block,Approved,Full
BLK00136,2026-09-19,C3,S15,2026-09-19 00:00:00,2026-09-19 03:00:00,180,Power Block,Pending,Full
BLK00137,2026-09-19,C3,S13,2026-09-19 03:00:00,2026-09-19 06:00:00,180,Power Block,Approved,Full
BLK00138,2026-09-19,C3,S05,2026-09-19 10:00:00,2026-09-19 13:00:00,180,Engineering Block,Pending,Full
BLK00139,2026-09-19,C3,S04,2026-09-19 13:00:00,2026-09-19 16:00:00,180,Power Block,Approved,Full
BLK00140,2026-09-19,C3,S17,2026-09-19 22:00:00,2026-09-20 00:00:00,120,Power Block,Approved,Full
BLK00141,2026-09-19,C4,S04,2026-09-19 00:00:00,2026-09-19 03:00:00,180,Power Block,Approved,Partial
BLK00142,2026-09-19,C4,S17,2026-09-19 03:00:00,2026-09-19 06:00:00,180,Engineering Block,Pending,Partial
BLK00143,2026-09-19,C4,S15,2026-09-19 10:00:00,2026-09-19 13:00:00,180,Engineering Block,Pending,Partial
BLK00144,2026-09-19,C4,S18,2026-09-19 13:00:00,2026-09-19 16:00:00,180,Power Block,Approved,Partial
BLK00145,2026-09-19,C4,S15,2026-09-19 22:00:00,2026-09-20 00:00:00,120,Power Block,Approved,Partial
BLK00146,2026-09-19,C5,S17,2026-09-19 00:00:00,2026-09-19 03:00:00,180,Power Block,Pending,Full
BLK00147,2026-09-19,C5,S09,2026-09-19 03:00:00,2026-09-19 06:00:00,180,Power Block,Approved,Partial
BLK00148,2026-09-19,C5,S08,2026-09-19 10:00:00,2026-09-19 13:00:00,180,Power Block,Approved,Partial
BLK00149,2026-09-19,C5,S18,2026-09-19 13:00:00,2026-09-19 16:00:00,180,Traffic Block,Approved,Full
BLK00150,2026-09-19,C5,S08,2026-09-19 22:00:00,2026-09-20 00:00:00,120,Power Block,Pending,Full
BLK00151,2026-09-20,C1,S07,2026-09-20 00:00:00,2026-09-20 03:00:00,180,Traffic Block,Approved,Partial
BLK00152,2026-09-20,C1,S11,2026-09-20 03:00:00,2026-09-20 06:00:00,180,Engineering Block,Approved,Partial
BLK00153,2026-09-20,C1,S02,2026-09-20 10:00:00,2026-09-20 13:00:00,180,Traffic Block,Approved,Partial
BLK00154,2026-09-20,C1,S19,2026-09-20 13:00:00,2026-09-20 16:00:00,180,Engineering Block,Approved,Partial
BLK00155,2026-09-20,C1,S16,2026-09-20 22:00:00,2026-09-21 00:00:00,120,Traffic Block,Approved,Partial
BLK00156,2026-09-20,C2,S13,2026-09-20 00:00:00,2026-09-20 03:00:00,180,Power Block,Pending,Full
BLK00157,2026-09-20,C2,S16,2026-09-20 03:00:00,2026-09-20 06:00:00,180,Traffic Block,Approved,Partial
BLK00158,2026-09-20,C2,S16,2026-09-20 10:00:00,2026-09-20 13:00:00,180,Traffic Block,Approved,Partial
BLK00159,2026-09-20,C2,S13,2026-09-20 13:00:00,2026-09-20 16:00:00,180,Engineering Block,Approved,Partial
BLK00160,2026-09-20,C2,S05,2026-09-20 22:00:00,2026-09-21 00:00:00,120,Engineering Block,Pending,Full
BLK00161,2026-09-20,C3,S13,2026-09-20 00:00:00,2026-09-20 03:00:00,180,Engineering Block,Pending,Full
BLK00162,2026-09-20,C3,S03,2026-09-20 03:00:00,2026-09-20 06:00:00,180,Engineering Block,Approved,Full
BLK00163,2026-09-20,C3,S15,2026-09-20 10:00:00,2026-09-20 13:00:00,180,Traffic Block,Approved,Partial
BLK00164,2026-09-20,C3,S13,2026-09-20 13:00:00,2026-09-20 16:00:00,180,Power Block,Approved,Partial
BLK00165,2026-09-20,C3,S11,2026-09-20 22:00:00,2026-09-21 00:00:00,120,Power Block,Approved,Partial
BLK00166,2026-09-20,C4,S14,2026-09-20 00:00:00,2026-09-20 03:00:00,180,Power Block,Approved,Partial
BLK00167,2026-09-20,C4,S01,2026-09-20 03:00:00,2026-09-20 06:00:00,180,Engineering Block,Pending,Full
BLK00168,2026-09-20,C4,S12,2026-09-20 10:00:00,2026-09-20 13:00:00,180,Traffic Block,Pending,Full
BLK00169,2026-09-20,C4,S02,2026-09-20 13:00:00,2026-09-20 16:00:00,180,Traffic Block,Approved,Full
BLK00170,2026-09-20,C4,S01,2026-09-20 22:00:00,2026-09-21 00:00:00,120,Engineering Block,Approved,Full
BLK00171,2026-09-20,C5,S05,2026-09-20 00:00:00,2026-09-20 03:00:00,180,Power Block,Pending,Full
BLK00172,2026-09-20,C5,S19,2026-09-20 03:00:00,2026-09-20 06:00:00,180,Traffic Block,Approved,Partial
BLK00173,2026-09-20,C5,S12,2026-09-20 10:00:00,2026-09-20 13:00:00,180,Traffic Block,Pending,Full
BLK00174,2026-09-20,C5,S06,2026-09-20 13:00:00,2026-09-20 16:00:00,180,Power Block,Approved,Full
BLK00175,2026-09-20,C5,S10,2026-09-20 22:00:00,2026-09-21 00:00:00,120,Engineering Block,Pending,Partial
BLK00176,2026-09-21,C1,S13,2026-09-21 00:00:00,2026-09-21 03:00:00,180,Engineering Block,Approved,Full
BLK00177,2026-09-21,C1,S19,2026-09-21 03:00:00,2026-09-21 06:00:00,180,Engineering Block,Pending,Full
BLK00178,2026-09-21,C1,S04,2026-09-21 10:00:00,2026-09-21 13:00:00,180,Engineering Block,Approved,Full
BLK00179,2026-09-21,C1,S19,2026-09-21 13:00:00,2026-09-21 16:00:00,180,Traffic Block,Approved,Partial
BLK00180,2026-09-21,C1,S12,2026-09-21 22:00:00,2026-09-22 00:00:00,120,Traffic Block,Pending,Partial
BLK00181,2026-09-21,C2,S01,2026-09-21 00:00:00,2026-09-21 03:00:00,180,Power Block,Approved,Full
BLK00182,2026-09-21,C2,S14,2026-09-21 03:00:00,2026-09-21 06:00:00,180,Power Block,Pending,Partial
BLK00183,2026-09-21,C2,S05,2026-09-21 10:00:00,2026-09-21 13:00:00,180,Power Block,Approved,Partial
BLK00184,2026-09-21,C2,S20,2026-09-21 13:00:00,2026-09-21 16:00:00,180,Engineering Block,Approved,Partial
BLK00185,2026-09-21,C2,S14,2026-09-21 22:00:00,2026-09-22 00:00:00,120,Engineering Block,Pending,Partial
BLK00186,2026-09-21,C3,S11,2026-09-21 00:00:00,2026-09-21 03:00:00,180,Traffic Block,Approved,Partial
BLK00187,2026-09-21,C3,S15,2026-09-21 03:00:00,2026-09-21 06:00:00,180,Traffic Block,Approved,Partial
BLK00188,2026-09-21,C3,S11,2026-09-21 10:00:00,2026-09-21 13:00:00,180,Traffic Block,Approved,Partial
BLK00189,2026-09-21,C3,S06,2026-09-21 13:00:00,2026-09-21 16:00:00,180,Power Block,Approved,Partial
BLK00190,2026-09-21,C3,S09,2026-09-21 22:00:00,2026-09-22 00:00:00,120,Power Block,Approved,Partial
BLK00191,2026-09-21,C4,S18,2026-09-21 00:00:00,2026-09-21 03:00:00,180,Traffic Block,Pending,Full
BLK00192,2026-09-21,C4,S03,2026-09-21 03:00:00,2026-09-21 06:00:00,180,Traffic Block,Pending,Partial
BLK00193,2026-09-21,C4,S16,2026-09-21 10:00:00,2026-09-21 13:00:00,180,Engineering Block,Approved,Partial
BLK00194,2026-09-21,C4,S16,2026-09-21 13:00:00,2026-09-21 16:00:00,180,Power Block,Approved,Full
BLK00195,2026-09-21,C4,S10,2026-09-21 22:00:00,2026-09-22 00:00:00,120,Traffic Block,Approved,Full
BLK00196,2026-09-21,C5,S10,2026-09-21 00:00:00,2026-09-21 03:00:00,180,Engineering Block,Pending,Partial
BLK00197,2026-09-21,C5,S16,2026-09-21 03:00:00,2026-09-21 06:00:00,180,Engineering Block,Pending,Partial
BLK00198,2026-09-21,C5,S14,2026-09-21 10:00:00,2026-09-21 13:00:00,180,Engineering Block,Pending,Partial
BLK00199,2026-09-21,C5,S12,2026-09-21 13:00:00,2026-09-21 16:00:00,180,Engineering Block,Approved,Partial
BLK00200,2026-09-21,C5,S10,2026-09-21 22:00:00,2026-09-22 00:00:00,120,Power Block,Approved,Full
BLK00201,2026-09-22,C1,S07,2026-09-22 00:00:00,2026-09-22 03:00:00,180,Power Block,Approved,Full
BLK00202,2026-09-22,C1,S07,2026-09-22 03:00:00,2026-09-22 06:00:00,180,Traffic Block,Pending,Partial
BLK00203,2026-09-22,C1,S09,2026-09-22 10:00:00,2026-09-22 13:00:00,180,Engineering Block,Pending,Partial
BLK00204,2026-09-22,C1,S04,2026-09-22 13:00:00,2026-09-22 16:00:00,180,Traffic Block,Approved,Full
BLK00205,2026-09-22,C1,S12,2026-09-22 22:00:00,2026-09-23 00:00:00,120,Traffic Block,Approved,Full
BLK00206,2026-09-22,C2,S18,2026-09-22 00:00:00,2026-09-22 03:00:00,180,Traffic Block,Approved,Full
BLK00207,2026-09-22,C2,S02,2026-09-22 03:00:00,2026-09-22 06:00:00,180,Engineering Block,Approved,Full
BLK00208,2026-09-22,C2,S16,2026-09-22 10:00:00,2026-09-22 13:00:00,180,Traffic Block,Approved,Partial
BLK00209,2026-09-22,C2,S16,2026-09-22 13:00:00,2026-09-22 16:00:00,180,Power Block,Approved,Partial
BLK00210,2026-09-22,C2,S06,2026-09-22 22:00:00,2026-09-23 00:00:00,120,Traffic Block,Approved,Partial
BLK00211,2026-09-22,C3,S04,2026-09-22 00:00:00,2026-09-22 03:00:00,180,Traffic Block,Approved,Partial
BLK00212,2026-09-22,C3,S03,2026-09-22 03:00:00,2026-09-22 06:00:00,180,Engineering Block,Pending,Full
BLK00213,2026-09-22,C3,S05,2026-09-22 10:00:00,2026-09-22 13:00:00,180,Traffic Block,Pending,Partial
BLK00214,2026-09-22,C3,S03,2026-09-22 13:00:00,2026-09-22 16:00:00,180,Traffic Block,Approved,Partial
BLK00215,2026-09-22,C3,S20,2026-09-22 22:00:00,2026-09-23 00:00:00,120,Engineering Block,Pending,Full
BLK00216,2026-09-22,C4,S17,2026-09-22 00:00:00,2026-09-22 03:00:00,180,Power Block,Approved,Partial
BLK00217,2026-09-22,C4,S10,2026-09-22 03:00:00,2026-09-22 06:00:00,180,Engineering Block,Approved,Partial
BLK00218,2026-09-22,C4,S19,2026-09-22 10:00:00,2026-09-22 13:00:00,180,Engineering Block,Approved,Full
BLK00219,2026-09-22,C4,S07,2026-09-22 13:00:00,2026-09-22 16:00:00,180,Engineering Block,Approved,Partial
BLK00220,2026-09-22,C4,S03,2026-09-22 22:00:00,2026-09-23 00:00:00,120,Traffic Block,Approved,Full
BLK00221,2026-09-22,C5,S18,2026-09-22 00:00:00,2026-09-22 03:00:00,180,Traffic Block,Approved,Full
BLK00222,2026-09-22,C5,S14,2026-09-22 03:00:00,2026-09-22 06:00:00,180,Power Block,Pending,Partial
BLK00223,2026-09-22,C5,S10,2026-09-22 10:00:00,2026-09-22 13:00:00,180,Traffic Block,Approved,Partial
BLK00224,2026-09-22,C5,S10,2026-09-22 13:00:00,2026-09-22 16:00:00,180,Engineering Block,Approved,Full
BLK00225,2026-09-22,C5,S08,2026-09-22 22:00:00,2026-09-23 00:00:00,120,Power Block,Pending,Full
BLK00226,2026-09-23,C1,S14,2026-09-23 00:00:00,2026-09-23 03:00:00,180,Traffic Block,Pending,Full
BLK00227,2026-09-23,C1,S05,2026-09-23 03:00:00,2026-09-23 06:00:00,180,Power Block,Approved,Full
BLK00228,2026-09-23,C1,S02,2026-09-23 10:00:00,2026-09-23 13:00:00,180,Traffic Block,Approved,Partial
