movement_id,train_id,train_type,corridor_id,direction,scheduled_departure,scheduled_arrival,duration_minutes,speed_kmph,is_peak_period,operational_priority
MOV00076,TRN04016,Superfast,C1,UP,2026-09-17 03:45:00,2026-09-17 04:32:00,47,90,False,High
MOV00077,TRN04017,Freight,C4,DOWN,2026-09-17 17:45:00,2026-09-17 20:09:00,144,60,True,Medium
MOV00078,TRN04018,Superfast,C4,DOWN,2026-09-17 07:30:00,2026-09-17 09:38:00,128,110,True,High
MOV00079,TRN04019,Superfast,C2,DOWN,2026-09-17 14:00:00,2026-09-17 16:01:00,121,75,False,High
MOV00080,TRN04020,Express,C3,DOWN,2026-09-17 10:00:00,2026-09-17 10:47:00,47,60,False,High
MOV00081,TRN05001,Express,C4,UP,2026-09-18 22:15:00,2026-09-18 22:53:00,38,90,False,High
MOV00082,TRN05002,Superfast,C3,DOWN,2026-09-18 13:00:00,2026-09-18 13:56:00,56,90,False,High
MOV00083,TRN05003,Superfast,C5,UP,2026-09-18 18:45:00,2026-09-18 20:16:00,91,45,True,High
MOV00084,TRN05004,Freight,C3,DOWN,2026-09-18 13:15:00,2026-09-18 14:47:00,92,60,False,Medium
MOV00085,TRN05005,Freight,C4,DOWN,2026-09-18 00:45:00,2026-09-18 01:58:00,73,130,False,Medium
MOV00086,TRN05006,Superfast,C2,DOWN,2026-09-18 04:00:00,2026-09-18 06:26:00,146,90,False,High
MOV00087,TRN05007,Passenger,C1,DOWN,2026-09-18 04:45:00,2026-09-18 05:38:00,53,45,False,Medium
MOV00088,TRN05008,Freight,C4,DOWN,2026-09-18 06:45:00,2026-09-18 07:56:00,71,75,False,Medium
MOV00089,TRN05009,Superfast,C3,DOWN,2026-09-18 08:00:00,2026-09-18 09:30:00,90,45,True,High
MOV00090,TRN05010,Passenger,C3,UP,2026-09-18 20:00:00,2026-09-18 22:09:00,129,130,True,Medium
MOV00091,TRN05011,Passenger,C1,UP,2026-09-18 06:00:00,2026-09-18 07:49:00,109,60,False,Medium
MOV00092,TRN05012,Express,C2,DOWN,2026-09-18 21:00:00,2026-09-18 22:42:00,102,60,False,High
MOV00093,TRN05013,Superfast,C3,DOWN,2026-09-18 05:00:00,2026-09-18 07:09:00,129,60,False,High
MOV00094,TRN05014,Freight,C1,UP,2026-09-18 09:45:00,2026-09-18 11:05:00,80,130,True,Medium
MOV00095,TRN05015,Express,C1,UP,2026-09-18 03:30:00,2026-09-18 05:48:00,138,130,False,High
MOV00096,TRN05016,Passenger,C5,UP,2026-09-18 11:45:00,2026-09-18 13:39:00,114,75,False,Medium
MOV00097,TRN05017,Passenger,C5,DOWN,2026-09-18 00:45:00,2026-09-18 03:00:00,135,90,False,Medium
MOV00098,TRN05018,Passenger,C4,DOWN,2026-09-18 20:45:00,2026-09-18 22:45:00,120,60,True,Medium
MOV00099,TRN05019,Superfast,C2,DOWN,2026-09-18 19:45:00,2026-09-18 21:14:00,89,90,True,High
MOV00100,TRN05020,Freight,C3,UP,2026-09-18 02:30:00,2026-09-18 04:52:00,142,90,False,Medium
MOV00101,TRN06001,Express,C4,DOWN,2026-09-19 10:00:00,2026-09-19 11:33:00,93,75,False,High
MOV00102,TRN06002,Express,C4,UP,2026-09-19 11:30:00,2026-09-19 12:43:00,73,75,False,High
MOV00103,TRN06003,Freight,C5,UP,2026-09-19 16:15:00,2026-09-19 16:55:00,40,60,False,Medium
MOV00104,TRN06004,Superfast,C4,UP,2026-09-19 22:45:00,2026-09-20 00:37:00,112,130,False,High
MOV00105,TRN06005,Superfast,C4,UP,2026-09-19 02:30:00,2026-09-19 03:28:00,58,90,False,High
MOV00106,TRN06006,Express,C3,DOWN,2026-09-19 15:30:00,2026-09-19 16:54:00,84,130,False,High
MOV00107,TRN06007,Freight,C3,DOWN,2026-09-19 08:30:00,2026-09-19 09:32:00,62,60,True,Medium
MOV00108,TRN06008,Passenger,C2,DOWN,2026-09-19 03:15:00,2026-09-19 04:09:00,54,60,False,Medium
MOV00109,TRN06009,Superfast,C3,DOWN,2026-09-19 03:15:00,2026-09-19 04:22:00,67,60,False,High
MOV00110,TRN06010,Freight,C2,DOWN,2026-09-19 00:15:00,2026-09-19 01:20:00,65,45,False,Medium
MOV00111,TRN06011,Passenger,C5,DOWN,2026-09-19 22:15:00,2026-09-20 00:06:00,111,90,False,Medium
MOV00112,TRN06012,Passenger,C1,DOWN,2026-09-19 15:45:00,2026-09-19 17:11:00,86,75,False,Medium
MOV00113,TRN06013,Express,C1,DOWN,2026-09-19 15:00:00,2026-09-19 17:15:00,135,45,False,High
MOV00114,TRN06014,Superfast,C4,UP,2026-09-19 18:00:00,2026-09-19 18:49:00,49,60,True,High
MOV00115,TRN06015,Freight,C1,UP,2026-09-19 03:45:00,2026-09-19 05:32:00,107,110,False,Medium
MOV00116,TRN06016,Express,C5,DOWN,2026-09-19 14:45:00,2026-09-19 15:53:00,68,110,False,High
MOV00117,TRN06017,Superfast,C3,UP,2026-09-19 19:00:00,2026-09-19 21:07:00,127,60,True,High
MOV00118,TRN06018,Express,C3,UP,2026-09-19 05:15:00,2026-09-19 06:07:00,52,110,False,High
MOV00119,TRN06019,Passenger,C2,UP,2026-09-19 13:45:00,2026-09-19 15:43:00,118,110,False,Medium
MOV00120,TRN06020,Superfast,C3,UP,2026-09-19 07:30:00,2026-09-19 09:30:00,120,75,True,High
MOV00121,TRN07001,Superfast,C1,UP,2026-09-20 08:15:00,2026-09-20 09:39:00,84,45,True,High
MOV00122,TRN07002,Express,C2,DOWN,2026-09-20 04:00:00,2026-09-20 04:37:00,37,60,False,High
MOV00123,TRN07003,Freight,C5,DOWN,2026-09-20 14:00:00,2026-09-20 15:29:00,89,130,False,Medium
MOV00124,TRN07004,Freight,C4,DOWN,2026-09-20 16:45:00,2026-09-20 18:11:00,86,45,False,Medium
MOV00125,TRN07005,Passenger,C4,DOWN,2026-09-20 19:30:00,2026-09-20 20:03:00,33,45,True,Medium
MOV00126,TRN07006,Express,C5,UP,2026-09-20 21:30:00,2026-09-20 23:13:00,103,45,False,High
MOV00127,TRN07007,Express,C4,DOWN,2026-09-20 08:15:00,2026-09-20 09:59:00,104,90,True,High
MOV00128,TRN07008,Superfast,C1,DOWN,2026-09-20 11:45:00,2026-09-20 12:57:00,72,75,False,High
MOV00129,TRN07009,Passenger,C2,DOWN,2026-09-20 13:45:00,2026-09-20 14:51:00,66,130,False,Medium
MOV00130,TRN07010,Superfast,C5,UP,2026-09-20 14:00:00,2026-09-20 15:10:00,70,75,False,High
MOV00131,TRN07011,Freight,C1,DOWN,2026-09-20 16:00:00,2026-09-20 17:54:00,114,110,False,Medium
MOV00132,TRN07012,Superfast,C4,UP,2026-09-20 06:30:00,2026-09-20 08:19:00,109,90,False,High
MOV00133,TRN07013,Superfast,C1,UP,2026-09-20 08:15:00,2026-09-20 10:43:00,148,75,True,High
MOV00134,TRN07014,Superfast,C4,UP,2026-09-20 00:15:00,2026-09-20 02:15:00,120,60,False,High
MOV00135,TRN07015,Freight,C5,UP,2026-09-20 17:45:00,2026-09-20 18:26:00,41,60,True,Medium
MOV00136,TRN07016,Passenger,C4,UP,2026-09-20 20:15:00,2026-09-20 21:48:00,93,130,True,Medium
MOV00137,TRN07017,Freight,C5,DOWN,2026-09-20 13:45:00,2026-09-20 15:15:00,90,60,False,Medium
MOV00138,TRN07018,Superfast,C5,UP,2026-09-20 12:15:00,2026-09-20 14:42:00,147,110,False,High
MOV00139,TRN07019,Express,C1,DOWN,2026-09-20 13:30:00,2026-09-20 15:59:00,149,110,False,High
MOV00140,TRN07020,Freight,C1,DOWN,2026-09-20 09:45:00,2026-09-20 12:05:00,140,60,True,Medium
MOV00141,TRN08001,Superfast,C5,DOWN,2026-09-21 11:30:00,2026-09-21 13:10:00,100,110,False,High
MOV00142,TRN08002,Superfast,C4,DOWN,2026-09-21 06:15:00,2026-09-21 07:58:00,103,90,False,High
MOV00143,TRN08003,Express,C4,UP,2026-09-21 10:45:00,2026-09-21 12:45:00,120,90,False,High
MOV00144,TRN08004,Superfast,C2,DOWN,2026-09-21 01:15:00,2026-09-21 02:49:00,94,110,False,High
MOV00145,TRN08005,Freight,C1,DOWN,2026-09-21 03:45:00,2026-09-21 04:16:00,31,130,False,Medium
MOV00146,TRN08006,Express,C4,UP,2026-09-21 02:45:00,2026-09-21 04:55:00,130,75,False,High
MOV00147,TRN08007,Freight,C5,DOWN,2026-09-21 20:00:00,2026-09-21 22:19:00,139,75,True,Medium
MOV00148,TRN08008,Superfast,C3,DOWN,2026-09-21 17:00:00,2026-09-21 18:49:00,109,45,True,High
MOV00149,TRN08009,Express,C3,UP,2026-09-21 02:45:00,2026-09-21 03:27:00,42,130,False,High
MOV00150,TRN08010,Passenger,C4,UP,2026-09-21 22:30:00,2026-09-22 00:55:00,145,45,False,Medium
MOV00151,TRN08011,Passenger,C3,UP,2026-09-21 09:30:00,2026-09-21 10:47:00,77,90,True,Medium
MOV00152,TRN08012,Express,C2,DOWN,2026-09-21 18:15:00,2026-09-21 19:06:00,51,60,True,High
MOV00153,TRN08013,Passenger,C5,DOWN,2026-09-21 19:15:00,2026-09-21 20:48:00,93,110,True,Medium
MOV00154,TRN08014,Express,C2,DOWN,2026-09-21 20:30:00,2026-09-21 21:58:00,88,75,True,High
MOV00155,TRN08015,Passenger,C4,DOWN,2026-09-21 21:15:00,2026-09-21 21:54:00,39,90,False,Medium
MOV00156,TRN08016,Freight,C5,DOWN,2026-09-21 20:45:00,2026-09-21 22:43:00,118,75,True,Medium
MOV00157,TRN08017,Superfast,C3,UP,2026-09-21 12:45:00,2026-09-21 13:28:00,43,60,False,High
MOV00158,TRN08018,Superfast,C5,DOWN,2026-09-21 18:30:00,2026-09-21 20:29:00,119,75,True,High
MOV00159,TRN08019,Passenger,C4,DOWN,2026-09-21 00:00:00,2026-09-21 02:26:00,146,110,False,Medium
MOV00160,TRN08020,Superfast,C3,UP,2026-09-21 19:30:00,2026-09-21 20:28:00,58,130,True,High
MOV00161,TRN09001,Express,C5,DOWN,2026-09-22 21:15:00,2026-09-22 23:05:00,110,45,False,High
MOV00162,TRN09002,Passenger,C3,DOWN,2026-09-22 01:30:00,2026-09-22 03:33:00,123,60,False,Medium
MOV00163,TRN09003,Passenger,C3,DOWN,2026-09-22 13:15:00,2026-09-22 14:10:00,55,60,False,Medium
MOV00164,TRN09004,Freight,C5,DOWN,2026-09-22 05:30:00,2026-09-22 07:56:00,146,90,False,Medium
MOV00165,TRN09005,Freight,C3,UP,2026-09-22 14:00:00,2026-09-22 14:48:00,48,60,False,Medium
MOV00166,TRN09006,Superfast,C5,DOWN,2026-09-22 02:45:00,2026-09-22 03:16:00,31,75,False,High
MOV00167,TRN09007,Passenger,C4,DOWN,2026-09-22 21:30:00,2026-09-22 23:14:00,104,90,False,Medium
MOV00168,TRN09008,Freight,C1,UP,2026-09-22 15:00:00,2026-09-22 16:49:00,109,110,False,Medium
MOV00169,TRN09009,Freight,C5,UP,2026-09-22 20:00:00,2026-09-22 21:51:00,111,90,True,Medium
MOV00170,TRN09010,Freight,C4,UP,2026-09-22 04:00:00,2026-09-22 04:34:00,34,75,False,Medium
MOV00171,TRN09011,Superfast,C1,UP,2026-09-22 07:15:00,2026-09-22 08:34:00,79,90,True,High
MOV00172,TRN09012,Freight,C5,DOWN,2026-09-22 18:15:00,2026-09-22 20:38:00,143,90,True,Medium
MOV00173,TRN09013,Passenger,C4,DOWN,2026-09-22 08:00:00,2026-09-22 09:58:00,118,75,True,Medium
MOV00174,TRN09014,Express,C4,DOWN,2026-09-22 07:30:00,2026-09-22 08:12:00,42,130,True,High
MOV00175,TRN09015,Freight,C5,DOWN,2026-09-22 01:45:00,2026-09-22 02:50:00,65,60,False,Medium
MOV00176,TRN09016,Passenger,C4,UP,2026-09-22 21:15:00,2026-09-22 23:07:00,112,130,False,Medium
MOV00177,TRN09017,Passenger,C1,DOWN,2026-09-22 07:15:00,2026-09-22 09:25:00,130,110,True,Medium
MOV00178,TRN09018,Express,C1,UP,2026-09-22 18:15:00,2026-09-22 20:29:00,134,60,True,High
MOV00179,TRN09019,Freight,C2,UP,2026-09-22 08:15:00,2026-09-22 09:01:00,46,110,True,Medium
MOV00180,TRN09020,Freight,C2,UP,2026-09-22 21:00:00,2026-09-22 21:46:00,46,45,False,Medium
MOV00181,TRN10001,Freight,C2,DOWN,2026-09-23 00:15:00,2026-09-23 01:18:00,63,45,False,Medium
MOV00182,TRN10002,Express,C4,UP,2026-09-23 02:45:00,2026-09-23 04:12:00,87,75,False,High
MOV00183,TRN10003,Passenger,C4,UP,2026-09-23 19:00:00,2026-09-23 21:03:00,123,130,True,Medium
MOV00184,TRN10004,Freight,C4,UP,2026-09-23 01:45:00,2026-09-23 04:03:00,138,90,False,Medium
MOV00185,TRN10005,Superfast,C1,DOWN,2026-09-23 22:45:00,2026-09-23 23:24:00,39,45,False,High
MOV00186,TRN10006,Freight,C5,UP,2026-09-23 02:15:00,2026-09-23 03:20:00,65,110,False,Medium
MOV00187,TRN10007,Freight,C4,DOWN,2026-09-23 14:45:00,2026-09-23 15:27:00,42,130,False,Medium
MOV00188,TRN10008,Passenger,C5,UP,2026-09-23 13:45:00,2026-09-23 16:08:00,143,60,False,Medium
MOV00189,TRN10009,Superfast,C3,DOWN,2026-09-23 12:45:00,2026-09-23 14:48:00,123,45,False,High
MOV00190,TRN10010,Freight,C4,DOWN,2026-09-23 21:30:00,2026-09-23 22:47:00,77,60,False,Medium
MOV00191,TRN10011,Superfast,C1,UP,2026-09-23 02:00:00,2026-09-23 03:25:00,85,45,False,High
MOV00192,TRN10012,Freight,C2,UP,2026-09-23 18:30:00,2026-09-23 20:25:00,115,45,True,Medium
MOV00193,TRN10013,Superfast,C3,DOWN,2026-09-23 01:30:00,2026-09-23 03:16:00,106,75,False,High
MOV00194,TRN10014,Freight,C1,UP,2026-09-23 04:45:00,2026-09-23 05:43:00,58,45,False,Medium
MOV00195,TRN10015,Freight,C5,DOWN,2026-09-23 03:30:00,2026-09-23 05:13:00,103,60,False,Medium
MOV00196,TRN10016,Superfast,C5,UP,2026-09-23 19:30:00,2026-09-23 20:03:00,33,60,True,High
MOV00197,TRN10017,Freight,C3,DOWN,2026-09-23 11:00:00,2026-09-23 11:53:00,53,60,False,Medium
MOV00198,TRN10018,Superfast,C1,UP,2026-09-23 20:00:00,2026-09-23 20:41:00,41,130,True,High
MOV00199,TRN10019,Express,C4,DOWN,2026-09-23 14:30:00,2026-09-23 15:20:00,50,75,False,High
MOV00200,TRN10020,Freight,C3,UP,2026-09-23 01:15:00,2026-09-23 02:05:00,50,110,False,Medium
MOV00201,TRN11001,Passenger,C1,DOWN,2026-09-24 14:45:00,2026-09-24 16:17:00,92,110,False,Medium
MOV00202,TRN11002,Superfast,C4,DOWN,2026-09-24 06:00:00,2026-09-24 07:14:00,74,90,False,High
MOV00203,TRN11003,Passenger,C3,DOWN,2026-09-24 16:30:00,2026-09-24 17:05:00,35,60,False,Medium
MOV00204,TRN11004,Superfast,C5,UP,2026-09-24 00:15:00,2026-09-24 01:23:00,68,60,False,High
MOV00205,TRN11005,Express,C3,DOWN,2026-09-24 10:00:00,2026-09-24 10:30:00,30,90,False,High
MOV00206,TRN11006,Superfast,C2,UP,2026-09-24 12:15:00,2026-09-24 13:49:00,94,110,False,High
MOV00207,TRN11007,Freight,C1,DOWN,2026-09-24 01:45:00,2026-09-24 02:17:00,32,90,False,Medium
MOV00208,TRN11008,Passenger,C3,DOWN,2026-09-24 18:45:00,2026-09-24 20:45:00,120,130,True,Medium
MOV00209,TRN11009,Superfast,C3,UP,2026-09-24 12:00:00,2026-09-24 13:11:00,71,60,False,High
MOV00210,TRN11010,Superfast,C3,UP,2026-09-24 13:00:00,2026-09-24 14:01:00,61,90,False,High
MOV00211,TRN11011,Superfast,C5,UP,2026-09-24 12:30:00,2026-09-24 14:35:00,125,75,False,High
MOV00212,TRN11012,Express,C3,UP,2026-09-24 02:00:00,2026-09-24 03:37:00,97,110,False,High
MOV00213,TRN11013,Express,C3,DOWN,2026-09-24 20:15:00,2026-09-24 21:15:00,60,45,True,High
MOV00214,TRN11014,Express,C3,UP,2026-09-24 05:15:00,2026-09-24 07:22:00,127,130,False,High
MOV00215,TRN11015,Passenger,C2,DOWN,2026-09-24 14:45:00,2026-09-24 16:42:00,117,110,False,Medium
MOV00216,TRN11016,Freight,C3,UP,2026-09-24 14:00:00,2026-09-24 15:30:00,90,90,False,Medium
MOV00217,TRN11017,Freight,C3,UP,2026-09-24 11:00:00,2026-09-24 12:09:00,69,90,False,Medium
MOV00218,TRN11018,Superfast,C1,UP,2026-09-24 11:30:00,2026-09-24 12:09:00,39,130,False,High
MOV00219,TRN11019,Passenger,C5,DOWN,2026-09-24 14:00:00,2026-09-24 15:27:00,87,110,False,Medium
MOV00220,TRN11020,Express,C3,DOWN,2026-09-24 16:15:00,2026-09-24 16:52:00,37,90,False,High
MOV00221,TRN12001,Passenger,C3,UP,2026-09-25 16:15:00,2026-09-25 16:50:00,35,60,False,Medium
MOV00222,TRN12002,Superfast,C4,UP,2026-09-25 11:30:00,2026-09-25 13:57:00,147,75,False,High
MOV00223,TRN12003,Superfast,C4,DOWN,2026-09-25 21:00:00,2026-09-25 23:11:00,131,130,False,High
MOV00224,TRN12004,Freight,C1,DOWN,2026-09-25 03:45:00,2026-09-25 04:51:00,66,75,False,Medium
MOV00225,TRN12005,Express,C3,UP,2026-09-25 18:15:00,2026-09-25 20:42:00,147,75,True,High
MOV00226,TRN12006,Freight,C4,UP,2026-09-25 19:00:00,2026-09-25 20:09:00,69,110,True,Medium
MOV00227,TRN12007,Superfast,C3,UP,2026-09-25 21:00:00,2026-09-25 22:52:00,112,130,False,High
MOV00228,TRN12008,Superfast,C5,DOWN,2026-09-25 00:30:00,2026-09-25 01:39:00,69,60,False,High
MOV00229,TRN12009,Express,C3,DOWN,2026-09-25 06:15:00,2026-09-25 07:02:00,47,60,False,High
MOV00230,TRN12010,Passenger,C3,UP,2026-09-25 16:00:00,2026-09-25 17:54:00,114,75,False,Medium
MOV00231,TRN12011,Express,C5,DOWN,2026-09-25 04:15:00,2026-09-25 05:08:00,53,130,False,High
MOV00232,TRN12012,Express,C4,UP,2026-09-25 13:30:00,2026-09-25 15:26:00,116,130,False,High
MOV00233,TRN12013,Express,C4,DOWN,2026-09-25 14:15:00,2026-09-25 15:53:00,98,60,False,High
MOV00234,TRN12014,Freight,C4,UP,2026-09-25 11:45:00,2026-09-25 13:14:00,89,75,False,Medium
MOV00235,TRN12015,Superfast,C5,DOWN,2026-09-25 05:15:00,2026-09-25 07:27:00,132,110,False,High
MOV00236,TRN12016,Express,C3,UP,2026-09-25 20:45:00,2026-09-25 23:06:00,141,75,True,High
MOV00237,TRN12017,Passenger,C5,UP,2026-09-25 09:00:00,2026-09-25 11:07:00,127,60,True,Medium
MOV00238,TRN12018,Freight,C4,UP,2026-09-25 13:00:00,2026-09-25 15:26:00,146,60,False,Medium
